id,country,country_id,continent,site_id,site_name,latitude,longitude,rural_urban,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,pf_pos,pf_pr,method,rdt_type,pcr_type,dhs_id,source_id1,source_id2,source_id3,date,survey_type
1073009,Tanzania,TZA,Africa,1073007,TZ201700000425,-6.177329,39.254454,RURAL,10,2017,10,2017,0.5,4,24,0,0,RDT,Unknown,NA,TZ201700000425,1000095291,5680,NA,2017-10-01,MIS
1073027,Tanzania,TZA,Africa,1073025,TZ201700000428,-6.140947,39.213492,RURAL,10,2017,10,2017,0.5,4,15,0,0,RDT,Unknown,NA,TZ201700000428,1000095291,5680,NA,2017-10-01,MIS
1072397,Tanzania,TZA,Africa,1072395,TZ201700000323,-1.598165,34.124633,RURAL,10,2017,10,2017,0.5,4,17,1,0.0588235294117647,RDT,Unknown,NA,TZ201700000323,1000095291,5680,NA,2017-10-01,MIS
1072409,Tanzania,TZA,Africa,1072407,TZ201700000325,-1.58453,33.839766,RURAL,10,2017,10,2017,0.5,4,14,0,0,RDT,Unknown,NA,TZ201700000325,1000095291,5680,NA,2017-10-01,MIS
1072535,Tanzania,TZA,Africa,1072533,TZ201700000346,-6.492643,30.884818,RURAL,10,2017,10,2017,0.5,4,37,1,0.027027027027027,RDT,Unknown,NA,TZ201700000346,1000095291,5680,NA,2017-10-01,MIS
1072715,Tanzania,TZA,Africa,1072713,TZ201700000376,-3.871312,34.233376,RURAL,10,2017,10,2017,0.5,4,45,0,0,RDT,Unknown,NA,TZ201700000376,1000095291,5680,NA,2017-10-01,MIS
1071035,Tanzania,TZA,Africa,1071033,TZ201700000096,-8.485494,39.099182,RURAL,10,2017,10,2017,0.6,4,18,10,0.555555555555556,RDT,Unknown,NA,TZ201700000096,1000095291,5680,NA,2017-10-01,MIS
1071059,Tanzania,TZA,Africa,1071057,TZ201700000100,-8.429662,39.030781,RURAL,10,2017,10,2017,0.6,4,26,7,0.269230769230769,RDT,Unknown,NA,TZ201700000100,1000095291,5680,NA,2017-10-01,MIS
1072679,Tanzania,TZA,Africa,1072677,TZ201700000370,-2.404463,34.1178,RURAL,10,2017,10,2017,0.6,4,48,4,0.0833333333333333,RDT,Unknown,NA,TZ201700000370,1000095291,5680,NA,2017-10-01,MIS
1072235,Tanzania,TZA,Africa,1072233,TZ201700000296,-2.635955,32.767418,RURAL,10,2017,10,2017,0.6,4,28,2,0.0714285714285714,RDT,Unknown,NA,TZ201700000296,1000095291,5680,NA,2017-10-01,MIS
1071959,Tanzania,TZA,Africa,1071957,TZ201700000250,-3.864354,34.005964,RURAL,10,2017,10,2017,0.6,4,26,0,0,RDT,Unknown,NA,TZ201700000250,1000095291,5680,NA,2017-10-01,MIS
1071893,Tanzania,TZA,Africa,1071891,TZ201700000239,-4.967203,30.279482,RURAL,10,2017,10,2017,0.6,4,24,1,0.0416666666666667,RDT,Unknown,NA,TZ201700000239,1000095291,5680,NA,2017-10-01,MIS
1071239,Tanzania,TZA,Africa,1071237,TZ201700000130,-10.280749,40.18179,URBAN,10,2017,10,2017,0.6,4,11,0,0,RDT,Unknown,NA,TZ201700000130,1000095291,5680,NA,2017-10-01,MIS
1071755,Tanzania,TZA,Africa,1071753,TZ201700000216,-8.358584,31.10983,RURAL,10,2017,10,2017,0.6,4,18,0,0,RDT,Unknown,NA,TZ201700000216,1000095291,5680,NA,2017-10-01,MIS
1073003,Tanzania,TZA,Africa,1073001,TZ201700000424,-6.148845,39.225469,URBAN,10,2017,10,2017,0.6,4,9,0,0,RDT,Unknown,NA,TZ201700000424,1000095291,5680,NA,2017-10-01,MIS
1070543,Tanzania,TZA,Africa,1070541,TZ201700000014,-3.365852,36.731548,URBAN,10,2017,10,2017,0.6,4,9,0,0,RDT,Unknown,NA,TZ201700000014,1000095291,5680,NA,2017-10-01,MIS
1070537,Tanzania,TZA,Africa,1070535,TZ201700000013,-3.353635,36.75733,RURAL,10,2017,10,2017,0.6,4,7,0,0,RDT,Unknown,NA,TZ201700000013,1000095291,5680,NA,2017-10-01,MIS
1072469,Tanzania,TZA,Africa,1072467,TZ201700000335,-4.245933,35.743127,URBAN,10,2017,10,2017,0.6,4,15,0,0,RDT,Unknown,NA,TZ201700000335,1000095291,5680,NA,2017-10-01,MIS
1072367,Tanzania,TZA,Africa,1072365,TZ201700000318,-1.516928,33.797791,URBAN,10,2017,10,2017,0.6,4,15,0,0,RDT,Unknown,NA,TZ201700000318,1000095291,5680,NA,2017-10-01,MIS
1070555,Tanzania,TZA,Africa,1070553,TZ201700000016,-3.350874,35.65288,RURAL,10,2017,10,2017,0.6,4,18,0,0,RDT,Unknown,NA,TZ201700000016,1000095291,5680,NA,2017-10-01,MIS
1072697,Tanzania,TZA,Africa,1072695,TZ201700000373,-2.913865,34.158689,RURAL,10,2017,10,2017,0.6,4,36,0,0,RDT,Unknown,NA,TZ201700000373,1000095291,5680,NA,2017-10-01,MIS
1073015,Tanzania,TZA,Africa,1073013,TZ201700000426,-6.18196,39.228552,URBAN,10,2017,10,2017,0.6,4,15,1,0.0666666666666667,RDT,Unknown,NA,TZ201700000426,1000095291,5680,NA,2017-10-01,MIS
1071743,Tanzania,TZA,Africa,1071741,TZ201700000214,-4.777458,31.6864,RURAL,10,2017,10,2017,0.6,4,39,7,0.179487179487179,RDT,Unknown,NA,TZ201700000214,1000095291,5680,NA,2017-10-01,MIS
1072133,Tanzania,TZA,Africa,1072131,TZ201700000279,-2.522332,30.642004,URBAN,10,2017,10,2017,0.6,4,9,0,0,RDT,Unknown,NA,TZ201700000279,1000095291,5680,NA,2017-10-01,MIS
1071965,Tanzania,TZA,Africa,1071963,TZ201700000251,-3.666056,33.089866,RURAL,10,2017,10,2017,0.6,4,34,1,0.0294117647058824,RDT,Unknown,NA,TZ201700000251,1000095291,5680,NA,2017-10-01,MIS
1071941,Tanzania,TZA,Africa,1071939,TZ201700000247,-3.582012,33.410373,RURAL,10,2017,10,2017,0.6,4,20,0,0,RDT,Unknown,NA,TZ201700000247,1000095291,5680,NA,2017-10-01,MIS
1070633,Tanzania,TZA,Africa,1070631,TZ201700000029,-3.360455,37.311854,URBAN,10,2017,10,2017,0.7,3,10,0,0,RDT,Unknown,NA,TZ201700000029,1000095291,5680,NA,2017-10-01,MIS
1070567,Tanzania,TZA,Africa,1070565,TZ201700000018,-3.140829,35.315403,RURAL,10,2017,10,2017,0.7,4,12,0,0,RDT,Unknown,NA,TZ201700000018,1000095291,5680,NA,2017-10-01,MIS
1070621,Tanzania,TZA,Africa,1070619,TZ201700000027,-3.173516,37.194459,RURAL,10,2017,10,2017,0.7,4,10,0,0,RDT,Unknown,NA,TZ201700000027,1000095291,5680,NA,2017-10-01,MIS
1070735,Tanzania,TZA,Africa,1070733,TZ201700000046,-6.940008,37.766831,RURAL,10,2017,10,2017,0.7,4,10,0,0,RDT,Unknown,NA,TZ201700000046,1000095291,5680,NA,2017-10-01,MIS
1071815,Tanzania,TZA,Africa,1071813,TZ201700000226,-3.588996,30.659777,RURAL,10,2017,10,2017,0.7,4,20,10,0.5,RDT,Unknown,NA,TZ201700000226,1000095291,5680,NA,2017-10-01,MIS
1071977,Tanzania,TZA,Africa,1071975,TZ201700000253,-3.769262,33.3139,RURAL,10,2017,10,2017,0.7,4,20,0,0,RDT,Unknown,NA,TZ201700000253,1000095291,5680,NA,2017-10-01,MIS
1072271,Tanzania,TZA,Africa,1072269,TZ201700000302,-2.505779,32.889133,URBAN,10,2017,10,2017,0.7,4,12,1,0.0833333333333333,RDT,Unknown,NA,TZ201700000302,1000095291,5680,NA,2017-10-01,MIS
1072691,Tanzania,TZA,Africa,1072689,TZ201700000372,-2.723535,34.361722,RURAL,10,2017,10,2017,0.7,4,29,3,0.103448275862069,RDT,Unknown,NA,TZ201700000372,1000095291,5680,NA,2017-10-01,MIS
1072403,Tanzania,TZA,Africa,1072401,TZ201700000324,-1.853025,33.847729,RURAL,10,2017,10,2017,0.7,4,14,0,0,RDT,Unknown,NA,TZ201700000324,1000095291,5680,NA,2017-10-01,MIS
